"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"112",2019-07-14,43,72,52,40,68,63,60,87,15,18,79,14,68,32,76,75,71
"113",2019-07-21,57,69,46,44,73,49,61,80,14,20,77,11,66,32,70,79,68
"114",2019-07-28,62,62,44,45,64,74,58,87,14,18,78,12,67,32,77,78,71
"115",2019-08-04,52,73,44,43,63,59,58,74,14,20,77,12,68,33,75,75,70
"116",2019-08-11,38,69,46,42,58,54,59,80,15,19,77,17,73,33,75,73,69
"117",2019-08-18,34,65,44,43,64,68,63,76,14,19,75,23,71,32,79,71,69
"118",2019-08-25,49,58,49,37,61,50,64,71,13,18,72,24,70,30,71,71,61
"119",2019-09-01,47,61,52,38,67,56,69,74,13,18,72,21,64,30,75,70,73
"120",2019-09-08,50,61,47,36,72,57,74,71,13,32,68,19,68,29,69,70,66
"121",2019-09-15,35,69,43,37,71,40,77,65,12,22,72,30,66,30,68,70,61
"122",2019-09-22,39,64,46,38,75,33,80,72,12,23,70,24,65,30,66,68,63
"123",2019-09-29,28,68,46,38,100,47,83,68,12,25,72,19,65,31,72,70,73
"124",2019-10-06,39,65,45,37,65,52,81,61,12,21,73,6,69,28,71,68,71
"125",2019-10-13,39,69,44,36,78,56,79,68,12,21,72,3,72,30,65,70,70
"126",2019-10-20,31,65,45,39,81,37,81,67,13,21,73,3,70,32,73,75,69
"127",2019-10-27,15,62,44,93,81,48,78,61,12,19,71,2,68,27,65,70,68
"128",2019-11-03,35,74,46,63,84,44,82,70,13,21,70,2,74,28,70,76,68
"129",2019-11-10,41,72,45,43,73,53,76,62,13,23,69,3,71,27,75,70,64
"130",2019-11-17,19,63,45,42,77,46,78,64,13,21,71,3,70,29,68,72,57
"131",2019-11-24,28,57,44,42,64,46,60,63,13,21,74,2,62,28,72,72,60
"132",2019-12-01,45,59,47,41,74,44,75,66,13,21,70,2,66,27,67,70,65
"133",2019-12-08,23,60,44,39,72,29,75,58,12,21,68,2,65,28,61,70,58
"134",2019-12-15,24,58,44,51,62,35,69,54,14,21,79,2,64,27,69,73,61
"135",2019-12-22,31,69,41,53,65,44,53,69,15,20,81,2,62,28,82,77,63
"136",2019-12-29,28,79,42,53,76,51,61,71,15,20,81,3,74,39,100,75,80
"137",2020-01-05,41,72,45,43,70,56,70,60,12,25,72,1,74,29,81,71,72
"138",2020-01-12,39,73,46,42,71,44,74,59,12,22,75,2,72,27,77,71,65
"139",2020-01-19,30,78,49,48,73,54,72,59,13,27,78,2,75,28,74,73,65
"140",2020-01-26,33,73,50,100,72,55,80,62,12,100,73,2,73,28,74,73,65
"141",2020-02-02,22,81,47,52,79,56,80,64,14,33,72,2,73,26,71,77,65
"142",2020-02-09,33,100,47,52,78,43,81,67,15,27,74,3,78,28,83,97,59
"143",2020-02-16,29,69,48,42,73,42,82,60,14,27,76,3,77,27,85,82,73
"144",2020-02-23,25,62,54,41,79,44,78,64,12,27,68,2,74,28,76,86,60
"145",2020-03-01,42,62,46,39,72,42,78,60,12,25,68,2,78,26,76,83,60
"146",2020-03-08,28,54,43,38,69,56,67,55,12,23,68,3,67,25,67,73,54
"147",2020-03-15,28,40,42,42,61,48,62,57,13,25,70,3,57,25,65,72,55
"148",2020-03-22,30,34,43,49,74,81,74,56,13,24,73,3,70,29,72,75,67
